2015,5
2016,6
2017,8
2018,9
2019,10
2020,10
2021,11
2022,13
2023,13
2024,13
2025,13
2026,13
2027,12
2028,12
2029,12
2030,12
2031,12
2032,12
2033,12
2034,12
2035,12
2036,12
2037,13
2038,16
2039,18
2040,22
2041,25
2042,25
2043,27
2044,29
2045,29
2046,35
2047,39
2048,41
2049,49
2050,49
2051,52
2052,56
2053,64
2054,70
2055,76
2056,76
2057,82
2058,91
2059,98
2060,102
2061,115
2062,124
2063,126
2064,128
2065,135
2066,145
2067,150
2068,156
2069,172
2070,182
2071,193
2072,201
2073,225
2074,238
2075,265
2076,286
2077,308
2078,339
2079,366
2080,399
2081,444
2082,465
2083,511
2084,554
2085,605
2086,648
2087,695
2088,742
2089,801
2090,865
