PersonID FriendID FriendshipType FriendshipDescription
4 335 3 Student
4 173 3 Worker_(Teacher)
4 341 3 Worker_(Teacher)
4 179 3 Worker_(Nurse)
4 222 3 Worker_(Nurse)
4 390 3 Worker_(Nurse)
4 514 3 Worker_(Doctor)
4 45 3 Spiritual_Member
4 51 3 Spiritual_Member
4 93 3 Spiritual_Member
4 170 3 Spiritual_Member
4 175 3 Spiritual_Member
4 178 3 Spiritual_Member
4 251 3 Spiritual_Member
4 281 3 Spiritual_Member
4 386 3 Spiritual_Member
4 387 3 Spiritual_Member
4 432 3 Spiritual_Member
4 484 3 Spiritual_Member
4 583 3 Spiritual_Member
4 618 3 Spiritual_Member
4 695 3 Spiritual_Member
4 409 3 Member
4 147 3 Member
4 5 1 Spouse
4 403 0 Child
4 404 0 Child
4 108 3 Spiritual_Member
4 109 3 Spiritual_Member
4 131 3 Worker_(Nurse)
4 355 3 Worker_(Nurse)
4 360 3 Spiritual_Member
4 399 3 Spiritual_Member
4 436 3 Spiritual_Member
4 482 3 Worker_(Nurse)
4 563 3 Member
4 612 3 Worker_(Nurse)
4 711 3 Spiritual_Member
5 4 1 Spouse
5 170 3 Student
5 382 3 Worker_(Teacher)
5 387 3 Worker_(Salesman)
5 226 3 Worker_(Salesman)
5 348 3 Worker_(Entrepeneur)
5 13 3 Worker_(Business_CEO)
5 35 3 Worker_(Business_CEO)
5 414 3 Worker_(Business_CEO)
5 50 3 Spiritual_Member
5 55 3 Spiritual_Member
5 62 3 Spiritual_Member
5 63 3 Spiritual_Member
5 108 3 Spiritual_Member
5 130 3 Spiritual_Member
5 178 3 Spiritual_Member
5 229 3 Spiritual_Member
5 246 3 Spiritual_Member
5 247 3 Spiritual_Member
5 386 3 Spiritual_Member
5 432 3 Spiritual_Member
5 437 3 Spiritual_Member
5 444 3 Spiritual_Member
5 539 3 Spiritual_Member
5 603 3 Spiritual_Member
5 83 3 Member
5 194 3 Member
5 403 0 Child
5 404 0 Child
5 57 3 Spiritual_Member
5 66 3 Spiritual_Member
5 93 3 Worker_(Salesman)
5 153 3 Spiritual_Member
5 175 3 Spiritual_Member
5 200 3 Spiritual_Member
5 220 3 Worker_(Salesman)
5 251 3 Spiritual_Member
